property,value,unit,cmp_ids,cmp_mole_fractions
Enthalpy of mixing,0.5544453858659381,kJ/mol,"[43.0, 28.0, 48.0]","[0.2, 0.6, 0.2]"
Enthalpy of mixing,0.4037985429386148,kJ/mol,"[35.0, 64.0, 72.0, 60.0, 23.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.6620550442648939,kJ/mol,"[28.0, 48.0, 74.0, 38.0, 1.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.7722022517645605,kJ/mol,"[76.0, 35.0]","[0.4, 0.6]"
Enthalpy of mixing,-0.1127350128691461,kJ/mol,"[48.0, 67.0, 8.0]","[0.2, 0.6, 0.2]"
Enthalpy of mixing,0.012841022946437,kJ/mol,"[72.0, 38.0, 53.0]","[0.2, 0.6, 0.2]"
Enthalpy of mixing,1.086254065239075,kJ/mol,"[14.0, 38.0, 50.0]","[0.33333333333333337, 0.33333333333333337, 0.33333333333333337]"
Enthalpy of mixing,0.3589866540075206,kJ/mol,"[48.0, 6.0, 77.0, 31.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,1.222583964184444,kJ/mol,"[75.0, 35.0]","[0.6, 0.4]"
Enthalpy of mixing,0.6996259638344365,kJ/mol,"[4.0, 1.0]","[0.8, 0.2]"
Enthalpy of mixing,0.5821306271829594,kJ/mol,"[14.0, 53.0]","[0.6, 0.4]"
Enthalpy of mixing,1.6346547140368304,kJ/mol,"[15.0, 48.0]","[0.4, 0.6]"
Enthalpy of mixing,2.146149720233588,kJ/mol,"[75.0, 76.0, 11.0, 29.0, 48.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,-0.1790911597089429,kJ/mol,"[2.0, 72.0, 53.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,-2.0706233064425814,kJ/mol,"[4.0, 48.0, 42.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,2.5125387924613185,kJ/mol,"[75.0, 29.0]","[0.2, 0.8]"
Enthalpy of mixing,-0.4880986217615705,kJ/mol,"[44.0, 38.0, 53.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,-0.6709776945615968,kJ/mol,"[76.0, 20.0, 74.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,0.5030157817273674,kJ/mol,"[12.0, 14.0, 72.0, 38.0, 53.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.8051571929887433,kJ/mol,"[14.0, 6.0, 8.0, 23.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.7101495464337303,kJ/mol,"[12.0, 38.0, 67.0, 53.0, 8.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,-0.0036648260094542,kJ/mol,"[14.0, 19.0, 38.0, 53.0, 60.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.0830173476760042,kJ/mol,"[6.0, 19.0, 72.0, 53.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.0031881896091492,kJ/mol,"[28.0, 6.0, 5.0]","[0.2, 0.6, 0.2]"
Enthalpy of mixing,0.1849626465033115,kJ/mol,"[12.0, 38.0, 60.0]","[0.2, 0.6, 0.2]"
Enthalpy of mixing,0.0679083931885178,kJ/mol,"[13.0, 48.0, 6.0, 64.0, 60.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,2.1363069931928296,kJ/mol,"[78.0, 54.0]","[0.4, 0.6]"
Enthalpy of mixing,1.368430682633006,kJ/mol,"[11.0, 35.0, 14.0, 6.0, 64.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.8474282060707276,kJ/mol,"[11.0, 64.0, 34.0, 72.0, 8.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.718535744469473,kJ/mol,"[12.0, 35.0, 48.0, 38.0, 53.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.3330228132793386,kJ/mol,"[35.0, 38.0]","[0.6, 0.4]"
Enthalpy of mixing,-2.5118480818336653,kJ/mol,"[76.0, 78.0, 54.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,-0.0437818351163097,kJ/mol,"[12.0, 79.0, 72.0, 53.0, 60.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.4434704104398521,kJ/mol,"[48.0, 64.0, 38.0, 60.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.4731898364985347,kJ/mol,"[64.0, 38.0, 27.0, 60.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,1.1832289386353163,kJ/mol,"[8.0, 7.0, 23.0]","[0.2, 0.6, 0.2]"
Enthalpy of mixing,1.0823714011280765,kJ/mol,"[45.0, 5.0]","[0.5, 0.5]"
Enthalpy of mixing,0.7930351324965111,kJ/mol,"[11.0, 13.0, 48.0, 64.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.6835110458590747,kJ/mol,"[12.0, 11.0, 29.0, 14.0, 60.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.7500081165875214,kJ/mol,"[12.0, 2.0, 64.0, 38.0, 8.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,-1.1067487295903646,kJ/mol,"[16.0, 72.0, 60.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,0.5168789786029043,kJ/mol,"[48.0, 34.0, 38.0, 60.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,-0.0139725721835117,kJ/mol,"[48.0, 74.0, 38.0, 1.0, 31.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.9351726561058032,kJ/mol,"[12.0, 48.0, 6.0, 70.0, 38.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,1.4518207442207522,kJ/mol,"[58.0, 38.0, 53.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,0.3880190388520441,kJ/mol,"[28.0, 72.0, 80.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,-0.0447272920525477,kJ/mol,"[6.0, 64.0]","[0.5, 0.5]"
Enthalpy of mixing,0.921704599319085,kJ/mol,"[12.0, 6.0, 34.0, 53.0, 23.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,-1.7980025631238168,kJ/mol,"[45.0, 28.0, 72.0, 74.0, 21.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,1.1395329399790708,kJ/mol,"[29.0, 48.0, 38.0, 23.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,-0.0949826570362713,kJ/mol,"[44.0, 72.0, 38.0, 53.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.100977113886894,kJ/mol,"[14.0, 64.0, 72.0, 8.0, 60.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.5105091419634121,kJ/mol,"[35.0, 60.0, 23.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,0.6096725003692914,kJ/mol,"[75.0, 76.0, 12.0, 11.0, 2.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.8472629579367504,kJ/mol,"[10.0, 6.0, 72.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,1.059331976417578,kJ/mol,"[4.0, 48.0, 38.0, 61.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.4150252986834684,kJ/mol,"[12.0, 3.0, 38.0, 60.0, 23.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.8365028904726344,kJ/mol,"[51.0, 4.0]","[0.2, 0.8]"
Enthalpy of mixing,-0.4175414986819141,kJ/mol,"[4.0, 20.0, 21.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,-0.0464714503641511,kJ/mol,"[12.0, 35.0, 72.0, 53.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,-0.3926313616131858,kJ/mol,"[48.0, 38.0, 21.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,0.1882387112235599,kJ/mol,"[13.0, 38.0, 8.0, 60.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.4708853968067731,kJ/mol,"[12.0, 29.0, 14.0, 38.0, 60.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,-0.8197821237311765,kJ/mol,"[18.0, 54.0, 21.0, 31.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.726210234430796,kJ/mol,"[64.0, 44.0]","[0.5, 0.5]"
Enthalpy of mixing,1.3793187430429898,kJ/mol,"[79.0, 6.0, 38.0, 23.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.9383731175189096,kJ/mol,"[12.0, 14.0, 64.0, 44.0, 38.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,1.077085708326068,kJ/mol,"[3.0, 23.0]","[0.6, 0.4]"
Enthalpy of mixing,-0.2812587684558416,kJ/mol,"[11.0, 35.0]","[0.4, 0.6]"
Enthalpy of mixing,-0.2115399385584076,kJ/mol,"[48.0, 6.0, 8.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,-0.3529658864381886,kJ/mol,"[14.0, 19.0, 53.0, 27.0, 60.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.7635664574076563,kJ/mol,"[4.0, 28.0, 71.0]","[0.33333333333333337, 0.33333333333333337, 0.33333333333333337]"
Enthalpy of mixing,0.6023680168705771,kJ/mol,"[28.0, 38.0, 67.0]","[0.2, 0.6, 0.2]"
Enthalpy of mixing,-0.0226561586193767,kJ/mol,"[72.0, 60.0, 31.0]","[0.33333333333333337, 0.33333333333333337, 0.33333333333333337]"
Enthalpy of mixing,-0.3509158044442521,kJ/mol,"[76.0, 28.0, 74.0, 38.0, 66.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,1.307952695407408,kJ/mol,"[76.0, 12.0, 29.0, 14.0, 53.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.5190506716468719,kJ/mol,"[12.0, 72.0, 3.0, 8.0, 23.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.4882918385460753,kJ/mol,"[12.0, 13.0, 53.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,1.257572653302082,kJ/mol,"[2.0, 48.0, 64.0, 53.0, 23.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.4711979676398851,kJ/mol,"[35.0, 38.0, 50.0, 53.0, 60.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.8563725587776599,kJ/mol,"[4.0, 48.0, 72.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,0.6794036332891771,kJ/mol,"[35.0, 64.0, 23.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,0.0130978463669975,kJ/mol,"[4.0, 20.0, 48.0, 6.0, 54.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,-0.4185227851355298,kJ/mol,"[30.0, 38.0, 60.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,0.6666668020608817,kJ/mol,"[19.0, 27.0]","[0.2, 0.8]"
Enthalpy of mixing,0.8458790808425153,kJ/mol,"[28.0, 48.0, 37.0, 38.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.3018188512896663,kJ/mol,"[13.0, 14.0, 8.0, 27.0, 23.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,-0.1502759213919946,kJ/mol,"[72.0, 53.0]","[0.5, 0.5]"
Enthalpy of mixing,0.3895824568325474,kJ/mol,"[4.0, 28.0, 48.0, 6.0, 59.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,-0.0858083000542801,kJ/mol,"[75.0, 2.0, 50.0]","[0.33333333333333337, 0.33333333333333337, 0.33333333333333337]"
Enthalpy of mixing,-0.187581118098009,kJ/mol,"[14.0, 6.0, 64.0, 34.0, 8.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,-0.0896598436994959,kJ/mol,"[14.0, 8.0, 27.0]","[0.2, 0.6, 0.2]"
Enthalpy of mixing,1.416615349167905,kJ/mol,"[12.0, 48.0, 6.0, 67.0, 23.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.2648327990802316,kJ/mol,"[25.0, 48.0, 6.0]","[0.2, 0.6, 0.2]"
Enthalpy of mixing,0.0832012490993649,kJ/mol,"[76.0, 48.0, 44.0, 60.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,1.1842511696159612,kJ/mol,"[11.0, 29.0, 14.0, 64.0, 60.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,-0.1356511228327204,kJ/mol,"[6.0, 72.0, 24.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,0.9334645396396014,kJ/mol,"[12.0, 6.0, 34.0, 8.0, 23.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.1586044329857625,kJ/mol,"[6.0, 5.0]","[0.8, 0.2]"
Enthalpy of mixing,0.1329971083550053,kJ/mol,"[48.0, 66.0, 31.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,-2.037320601461785,kJ/mol,"[45.0, 6.0, 72.0, 54.0, 21.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.844766591728919,kJ/mol,"[45.0, 25.0]","[0.8, 0.2]"
Enthalpy of mixing,0.1502208275009857,kJ/mol,"[75.0, 76.0, 40.0]","[0.2, 0.6, 0.2]"
Enthalpy of mixing,1.5348183566130889,kJ/mol,"[64.0, 38.0, 53.0, 27.0, 23.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,-0.439374655961644,kJ/mol,"[45.0, 48.0, 59.0]","[0.2, 0.6, 0.2]"
Enthalpy of mixing,0.1378680822560985,kJ/mol,"[76.0, 38.0, 53.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,0.6604361893388747,kJ/mol,"[72.0, 46.0, 38.0]","[0.2, 0.6, 0.2]"
Enthalpy of mixing,0.5592380544651174,kJ/mol,"[13.0, 6.0, 72.0, 38.0, 53.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.3606740761477954,kJ/mol,"[78.0, 28.0, 6.0, 74.0, 38.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.4888270380150878,kJ/mol,"[43.0, 6.0, 38.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,0.8336971557504789,kJ/mol,"[14.0, 6.0, 19.0, 64.0, 53.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.7749658318538765,kJ/mol,"[6.0, 37.0, 38.0]","[0.33333333333333337, 0.33333333333333337, 0.33333333333333337]"
Enthalpy of mixing,-0.1856936238731652,kJ/mol,"[38.0, 61.0, 54.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,1.6081738713123674,kJ/mol,"[11.0, 14.0, 6.0, 23.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,-2.1592452376383005,kJ/mol,"[45.0, 6.0, 54.0, 66.0, 21.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.8628927313700187,kJ/mol,"[28.0, 6.0, 37.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,1.614085785012333,kJ/mol,"[12.0, 2.0, 38.0, 27.0, 23.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,1.0234059622957017,kJ/mol,"[12.0, 6.0, 70.0, 38.0, 23.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,-1.1105316839952364,kJ/mol,"[74.0, 21.0, 0.0]","[0.2, 0.6, 0.2]"
Enthalpy of mixing,-0.0953615594585947,kJ/mol,"[76.0, 41.0, 53.0, 73.0, 60.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.8448737476759782,kJ/mol,"[48.0, 19.0, 38.0, 27.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.0386068726445374,kJ/mol,"[51.0, 48.0]","[0.2, 0.8]"
Enthalpy of mixing,1.3271129771283334,kJ/mol,"[2.0, 64.0, 53.0, 23.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.0544662057962113,kJ/mol,"[78.0, 4.0]","[0.2, 0.8]"
Enthalpy of mixing,1.0532074709249666,kJ/mol,"[2.0, 48.0, 38.0]","[0.2, 0.6, 0.2]"
Enthalpy of mixing,0.9620976865330084,kJ/mol,"[12.0, 11.0, 35.0, 48.0, 38.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.8834321600256474,kJ/mol,"[11.0, 2.0, 64.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,-4.956417165514093,kJ/mol,"[76.0, 65.0, 74.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,1.503329411172024,kJ/mol,"[75.0, 12.0, 35.0, 50.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,-1.7174635166723582,kJ/mol,"[45.0, 74.0, 5.0]","[0.33333333333333337, 0.33333333333333337, 0.33333333333333337]"
Enthalpy of mixing,-0.093915947954977,kJ/mol,"[28.0, 67.0]","[0.4, 0.6]"
Enthalpy of mixing,0.2225564630580508,kJ/mol,"[6.0, 72.0, 38.0, 67.0, 60.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,2.16157266487752,kJ/mol,"[29.0, 6.0, 53.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,-0.5623940104175721,kJ/mol,"[45.0, 48.0, 72.0, 21.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,-0.1420527343153207,kJ/mol,"[48.0, 72.0, 3.0, 8.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.6428278715998368,kJ/mol,"[2.0, 14.0, 64.0, 72.0, 53.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,1.2344852485197948,kJ/mol,"[11.0, 29.0, 48.0, 38.0, 23.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,1.2902347217252057,kJ/mol,"[12.0, 48.0, 44.0, 27.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,-1.2598732578167655,kJ/mol,"[28.0, 47.0, 74.0, 21.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,1.1058117799909268,kJ/mol,"[28.0, 6.0, 37.0]","[0.33333333333333337, 0.33333333333333337, 0.33333333333333337]"
Enthalpy of mixing,1.4214961882285893,kJ/mol,"[33.0, 28.0, 48.0, 38.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,-0.9846391698054344,kJ/mol,"[4.0, 20.0, 74.0, 38.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.1423290101484216,kJ/mol,"[14.0, 67.0, 60.0]","[0.33333333333333337, 0.33333333333333337, 0.33333333333333337]"
Enthalpy of mixing,1.2800261872129564,kJ/mol,"[12.0, 29.0, 6.0, 53.0, 8.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.1040832645487817,kJ/mol,"[12.0, 14.0, 34.0, 8.0, 60.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.6247050185904378,kJ/mol,"[11.0, 6.0, 72.0, 53.0, 8.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.733618461521288,kJ/mol,"[45.0, 9.0]","[0.6, 0.4]"
Enthalpy of mixing,-2.0068664385233803,kJ/mol,"[72.0, 80.0, 54.0]","[0.2, 0.6, 0.2]"
Enthalpy of mixing,1.0536827186918585,kJ/mol,"[12.0, 11.0, 48.0, 6.0, 53.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.9224094456074706,kJ/mol,"[15.0, 48.0, 6.0, 31.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,1.4766932966855293,kJ/mol,"[75.0, 76.0, 20.0, 48.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.1095879066650353,kJ/mol,"[12.0, 64.0, 34.0, 60.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.2157623927383429,kJ/mol,"[13.0, 72.0, 60.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,-0.0154614526124254,kJ/mol,"[48.0, 8.0, 7.0, 60.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,1.219677207675585,kJ/mol,"[11.0, 2.0, 14.0, 6.0, 60.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.9378798218586852,kJ/mol,"[75.0, 48.0, 38.0, 50.0, 53.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.0989342082608939,kJ/mol,"[74.0, 61.0, 31.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,1.2378272522916531,kJ/mol,"[12.0, 58.0, 38.0]","[0.2, 0.6, 0.2]"
Enthalpy of mixing,-0.8127086275381772,kJ/mol,"[77.0, 21.0]","[0.2, 0.8]"
Enthalpy of mixing,-6.824409296791803,kJ/mol,"[65.0, 74.0, 31.0]","[0.33333333333333337, 0.33333333333333337, 0.33333333333333337]"
Enthalpy of mixing,0.2310190764123645,kJ/mol,"[2.0, 48.0, 38.0, 53.0, 60.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,-0.266342869500758,kJ/mol,"[52.0, 60.0]","[0.5, 0.5]"
Enthalpy of mixing,0.9823125094383762,kJ/mol,"[12.0, 56.0, 8.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,0.0842745471748255,kJ/mol,"[72.0, 60.0, 31.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,0.4991618806849298,kJ/mol,"[35.0, 53.0]","[0.8, 0.2]"
Enthalpy of mixing,1.3496427758558678,kJ/mol,"[76.0, 28.0]","[0.6, 0.4]"
Enthalpy of mixing,-0.3387177869832714,kJ/mol,"[19.0, 53.0, 8.0, 60.0, 23.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,1.1276216645269928,kJ/mol,"[35.0, 48.0, 6.0, 53.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,1.6255775072303864,kJ/mol,"[19.0, 53.0, 23.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,0.5247275125549858,kJ/mol,"[12.0, 13.0, 14.0, 38.0, 8.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,1.0997925071431147,kJ/mol,"[12.0, 11.0, 14.0, 38.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,-1.6222222243892512,kJ/mol,"[57.0, 38.0, 21.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,0.970303918360656,kJ/mol,"[2.0, 72.0, 8.0, 27.0, 60.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.9854312780616568,kJ/mol,"[12.0, 48.0, 6.0, 8.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.2756821971607522,kJ/mol,"[38.0, 7.0]","[0.8, 0.2]"
Enthalpy of mixing,1.513098922318187,kJ/mol,"[12.0, 35.0, 48.0, 6.0, 23.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,-0.9801327767482112,kJ/mol,"[74.0, 38.0, 5.0]","[0.6, 0.2, 0.2]"
Enthalpy of mixing,1.1062011333810926,kJ/mol,"[11.0, 35.0, 14.0, 8.0, 23.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.4182349450032932,kJ/mol,"[48.0, 64.0, 44.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,-2.801540094499506,kJ/mol,"[45.0, 20.0, 54.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,1.390748905329807,kJ/mol,"[75.0, 76.0, 48.0, 19.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.4967055921011467,kJ/mol,"[2.0, 14.0, 72.0, 38.0, 8.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.6971009745055025,kJ/mol,"[12.0, 48.0, 14.0, 19.0, 38.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.6805776158143079,kJ/mol,"[6.0, 67.0, 8.0, 23.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,-0.5477296628786813,kJ/mol,"[75.0, 73.0, 60.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,0.7166902266054349,kJ/mol,"[50.0, 27.0]","[0.2, 0.8]"
Enthalpy of mixing,-1.0405393859129377,kJ/mol,"[51.0, 6.0, 74.0, 21.0, 31.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,1.2494926888746345,kJ/mol,"[12.0, 48.0, 64.0, 67.0, 23.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,-0.003797795030838,kJ/mol,"[36.0, 28.0, 48.0]","[0.2, 0.6, 0.2]"
Enthalpy of mixing,1.1025664061865643,kJ/mol,"[12.0, 79.0, 6.0, 38.0, 53.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,1.5122978912362048,kJ/mol,"[12.0, 35.0, 38.0, 27.0, 23.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,1.3818585888027386,kJ/mol,"[33.0, 48.0]","[0.4, 0.6]"
Enthalpy of mixing,-2.031512071671794,kJ/mol,"[75.0, 42.0]","[0.8, 0.2]"
Enthalpy of mixing,0.8559804949755694,kJ/mol,"[48.0, 14.0, 53.0, 27.0, 23.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,1.6970959462443331,kJ/mol,"[76.0, 35.0, 48.0, 14.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,-0.7494297578958442,kJ/mol,"[76.0, 74.0, 38.0, 66.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,0.4182720340403185,kJ/mol,"[72.0, 3.0, 38.0, 53.0, 23.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
Enthalpy of mixing,0.3367694585895458,kJ/mol,"[10.0, 72.0, 74.0, 38.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,-0.4858122312805213,kJ/mol,"[75.0, 41.0, 73.0]","[0.2, 0.2, 0.6]"
Enthalpy of mixing,0.4283705218418714,kJ/mol,"[48.0, 6.0, 3.0, 23.0]","[0.25, 0.25, 0.25, 0.25]"
Enthalpy of mixing,1.0480433734501586,kJ/mol,"[43.0, 6.0]","[0.5, 0.5]"
Enthalpy of mixing,0.238639147267266,kJ/mol,"[12.0, 48.0, 6.0, 72.0, 60.0]","[0.2, 0.2, 0.2, 0.2, 0.2]"
